,JPM,AXP,WFC,MS,LON:HSBA,LON:BNC,LON:LLOY,LON:RBS
2020-06-30,93.1552,94.7667,25.6,48.3,378.6,202.9,31.175,121.6
2020-06-29,92.1054,94.0898,25.7,47.24,384.8,204.45,31.255,121.2
2020-06-26,91.6993,92.9948,25.34,47.05,380.25,196.14,31.085,118.5
2020-06-25,97.0177,97.4047,27.37,48.79,384.35,191.82,31.62,120.2
2020-06-24,93.7494,95.0454,26.12,46.95,380.8,195.0,31.61,119.7
2020-06-23,96.988,98.9675,27.23,47.89,387.6,202.3,32.745,123.55
2020-06-22,95.8193,98.9874,27.35,47.38,381.35,196.8,31.645,120.5
2020-06-19,96.8691,100.4806,27.6,46.93,391.4,198.0,32.235,121.7
2020-06-18,97.9882,101.695,27.55,47.58,381.55,197.5,32.43,122.5
2020-06-17,98.5231,103.4869,27.45,47.76,382.05,200.6,32.575,122.8
2020-06-16,101.0782,105.1393,28.52,48.56,383.8,206.15,33.15,124.55
2020-06-15,100.276,103.4769,28.21,47.4,376.2,199.86,31.53,118.25
2020-06-12,98.9093,101.2172,27.97,46.28,380.35,196.0,31.93,118.7
2020-06-11,96.2749,98.1512,26.79,44.57,376.25,202.0,32.045,117.5
2020-06-10,105.0398,105.6768,29.71,48.69,400.55,219.2,35.02,128.75
2020-06-09,109.4767,109.9573,32.63,50.4,405.45,223.5,35.225,131.35
2020-06-08,112.3587,113.1527,33.32,50.15,420.75,229.0,36.88,140.35
2020-06-05,110.16,109.2306,31.67,49.53,422.95,217.85,35.545,137.35
2020-06-04,105.4161,106.0551,30.22,48.69,399.4,209.9,33.885,126.7
2020-06-03,103.267,104.9203,28.83,46.91,401.8,200.0,33.76,125.5
2020-06-02,97.9783,98.6191,27.4,45.58,384.8,187.68,31.93,120.55
2020-06-01,97.6515,96.3097,27.09,44.7,380.4,189.44,30.86,115.35
2020-05-29,96.3739,94.6373,26.47,44.2,370.1,187.98,29.87,110.35
2020-05-28,98.8994,97.6137,27.22,44.4,384.35,191.34,31.38,118.05
2020-05-27,100.3949,100.7693,27.95,46.86,396.6,192.82,31.815,120.15
2020-05-26,94.8983,93.8907,26.26,43.69,387.65,182.78,30.075,112.55
2020-05-22,88.6093,88.9234,24.17,40.13,379.0,169.82,28.12,104.15
2020-05-21,89.3026,89.4212,24.46,40.3,398.9,166.05,28.39,103.2
2020-05-20,90.4515,90.3171,24.52,41.06,412.75,168.74,29.865,106.75
2020-05-19,87.817,86.8629,23.95,39.33,411.5,164.21,29.585,106.65
2020-05-18,89.5799,88.0076,25.41,40.28,414.7,171.5,29.685,107.0
2020-05-15,85.0737,81.8458,23.36,37.29,399.7,163.8,28.505,104.4
2020-05-14,86.6781,83.4286,24.06,37.81,398.5,166.07,28.615,105.2
2020-05-13,83.2217,77.6749,22.53,36.99,404.6,167.18,29.01,106.0
2020-05-12,86.1928,82.7616,24.04,38.42,410.5,172.83,29.885,110.1
2020-05-11,89.1045,84.9416,24.78,39.83,411.0,173.08,30.415,110.45
2020-05-08,91.8083,89.0927,25.43,40.08,412.7,170.0,31.285,114.1
2020-05-07,90.3326,86.3353,25.23,38.81,401.95,169.61,30.17,108.2
2020-05-06,89.4016,83.6177,25.1026,37.3,401.2,172.22,30.58,112.75
2020-05-05,91.115,86.3452,25.7985,37.98,395.6,173.72,30.6,110.15
2020-05-04,91.2537,85.9869,26.8081,38.09,402.45,175.85,31.685,113.25
2020-05-01,92.353,87.918,27.0433,38.4,410.0,170.12,32.24,110.55
2020-04-30,94.8388,90.8347,28.4744,39.43,428.5,174.748,34.76,120.45
2020-04-29,96.9186,95.6825,29.4056,40.79,420.55,164.2453,33.245,115.05
2020-04-28,94.3734,87.7886,28.298,39.7886,416.3,161.2608,30.535,107.5
2020-04-27,93.7098,84.6729,27.8471,38.9756,402.15,157.9551,29.735,104.6
2020-04-24,89.8374,82.7915,26.3866,37.647,410.3,164.3681,30.425,106.45
2020-04-23,88.5301,82.0847,26.0043,37.1512,405.6,159.6174,29.915,104.7
2020-04-22,88.4806,82.1643,26.269,37.4883,399.3,158.6729,29.22,102.8
2020-04-21,88.1934,81.149,26.3082,36.6356,417.95,159.6174,30.12,105.95
2020-04-20,90.8278,83.6277,27.1316,38.0337,414.35,167.0221,30.45,106.2
2020-04-17,94.2644,86.9923,27.8177,38.7574,405.6,162.5641,29.435,103.75
2020-04-16,86.4899,80.9798,26.3572,38.0337,408.1,170.0067,27.495,104.3
2020-04-15,89.9166,83.4087,27.8765,38.0733,427.45,174.5118,29.3807,114.95
2020-04-14,94.5813,87.9877,29.582,39.5209,428.85,186.5918,30.8643,122.5
2020-04-13,97.2455,89.9189,30.8073,39.2433,420.45,184.1739,29.45,115.3
2020-04-09,101.7715,94.3885,32.5422,40.7305,419.6,191.9659,28.8584,115.55
2020-04-08,93.3929,91.6609,29.68,39.0351,414.7,189.5102,27.6752,107.05
2020-04-07,89.7681,87.1814,28.2,36.6257,397.2,174.7291,25.6278,101.75
2020-04-06,88.5994,83.4883,28.0627,36.6951,397.75,178.8281,26.7185,104.45
2020-04-03,83.2415,73.265,25.7103,33.562,411.0,179.3948,26.1316,107.0
2020-04-02,85.75,76.3111,26.6807,33.6116,454.25,185.5056,29.5794,112.9
2020-04-01,82.6633,77.0535,26.0436,31.351,462.65,183.2294,30.966,117.4
2020-03-31,88.2193,84.745,28.1314,33.7107,466.55,199.2856,31.7933,120.15
2020-03-30,91.6195,89.3579,29.3272,34.5436,497.9,210.3832,34.7189,132.5
2020-03-27,89.2972,87.8335,29.68,33.7207,509.9,206.9359,33.9516,131.75
2020-03-26,96.1466,92.3474,30.2878,35.4062,515.0,200.8676,31.1,115.8533
2020-03-25,89.8851,89.2589,28.396,33.7008,490.0,184.5706,28.2576,108.9647
2020-03-24,86.6515,83.2008,28.347,32.9374,500.0,183.1727,29.6719,109.6391
2020-03-23,77.4405,68.2632,24.7497,27.5734,500.0,176.6653,29.9261,117.7802
2020-03-20,81.8206,73.3711,25.9749,29.4176,491.0,182.3983,31.0907,123.0791
2020-03-19,83.5844,76.2913,27.7295,30.6569,494.65,187.1112,32.6483,126.9328
2020-03-18,82.2028,73.0048,27.5628,30.4884,464.4,177.3925,32.4542,121.8266
2020-03-17,91.8743,85.7052,29.0429,33.5025,465.85,189.3166,35.0239,125.9212
2020-03-16,86.5829,85.0024,25.9749,31.3807,444.6,184.1739,34.1966,121.104
2020-03-13,101.8202,98.5937,30.278,37.181,485.5,220.3947,38.9339,136.4227
2020-03-12,86.2791,82.686,26.6611,31.0436,478.5,220.2531,39.3175,136.6154
2020-03-11,94.03,94.4163,31.6894,36.5563,470.0,222.3782,38.1159,135.7483
2020-03-10,98.6747,102.2563,34.3849,39.164,493.8,246.9347,42.2246,151.5005
2020-03-09,91.5607,97.2969,31.8365,37.181,506.4,255.2933,43.4448,154.9207
2020-03-06,105.9063,107.1464,36.3551,41.484,512.2,270.0745,44.7065,162.0983
2020-03-05,111.6778,109.8191,38.1293,42.2277,509.8,268.9411,44.9931,164.2178
2020-03-04,117.4396,114.531,40.5797,44.8551,520.1,268.0438,45.7926,166.1929
2020-03-03,114.6077,106.9187,39.727,44.0223,523.9,270.0036,46.4027,172.118
2020-03-02,119.076,112.7195,41.4227,46.0846,529.3,274.9386,46.5414,176.6943
2020-02-28,113.7748,108.8193,40.0406,44.6469,534.0,280.936,47.9834,185.9915
2020-02-27,118.929,111.6702,41.6285,45.0237,519.2789,277.8664,48.0758,187.9665
2020-02-26,124.093,117.3027,43.2654,46.8381,529.9589,286.6501,49.0926,190.5197
2020-02-25,123.7207,119.6785,44.226,47.6214,540.9276,301.6674,51.1632,196.6375
2020-02-24,129.502,126.8948,45.4709,49.2573,538.5222,305.1147,52.2724,200.1059
2020-02-21,133.0786,133.537,46.7549,51.974,537.8486,309.9788,51.5606,198.468
2020-02-20,134.7248,135.2,46.402,53.2927,531.0173,310.5455,51.6531,199.3351
2020-02-19,134.7248,135.5465,46.157,55.8309,568.3492,314.1818,52.5682,201.3583
2020-02-18,132.912,134.2299,46.059,55.0477,562.3838,309.5066,52.3279,205.3084
2020-02-14,134.6954,134.4972,47.2646,55.3649,567.5795,309.3177,53.6404,220.338
2020-02-13,135.107,133.1015,47.1666,55.4542,572.8714,306.9565,53.0951,219.6636
2020-02-12,135.2245,131.8938,46.8431,55.702,569.0227,310.4983,52.4388,214.3647
2020-02-11,135.2245,131.2899,47.0391,55.3054,556.4184,305.5398,52.5774,213.4013
2020-02-10,134.9698,130.9039,46.8235,54.8791,559.3049,308.4676,52.6144,214.7501
2020-02-07,134.4112,130.4881,46.8921,54.5618,551.8,311.6789,52.6421,216.4843
2020-02-06,134.8424,131.9037,47.0293,54.542,547.4703,303.2258,52.8178,213.4976
2020-02-05,134.8228,132.2501,46.8548,54.5222,542.3708,292.742,53.1505,213.883
2020-02-04,132.569,130.5178,45.8364,53.5604,534.6735,286.1543,52.2724,209.1622
2020-02-03,130.6877,129.6764,45.7006,52.1525,530.9211,283.8639,52.4942,210.3183
2020-01-31,129.698,128.5578,45.526,51.8154,541.6973,291.7031,53.548,213.4013
2020-01-30,133.157,131.874,46.4668,53.3621,544.8724,295.6227,53.1505,212.8232
2020-01-29,131.5304,130.3495,45.8461,52.8794,546.2195,293.0254,53.2799,209.9329
2020-01-28,131.7263,131.1118,45.9431,53.2144,537.9449,278.3387,52.79,210.1256
2020-01-27,129.3746,129.32,45.6812,52.3179,557.4768,282.7305,53.6959,215.2318
2020-01-24,130.4721,133.7449,46.1371,53.7365,551.3189,284.7139,53.0581,211.089
2020-01-23,133.7939,130.0427,46.7675,54.7018,559.2086,284.9028,53.6959,214.5574
2020-01-22,133.9311,130.1615,47.0972,55.0269,563.4422,290.428,54.0749,216.4843
2020-01-21,134.0879,129.2112,47.4658,55.086,569.9849,289.2947,53.5203,214.5574
2020-01-17,135.4205,130.1912,47.6986,56.6523,571.5243,298.3617,54.0287,216.4843
2020-01-16,134.4896,129.231,47.7665,55.5983,568.5416,292.4587,53.5203,213.883
2020-01-15,133.9703,128.5083,46.8645,52.1505,567.4832,289.2002,53.4371,216.677
2020-01-14,136.0084,127.4986,47.8149,52.0717,568.0605,292.2698,54.306,222.2649
2020-01-13,134.4406,127.2413,50.5403,51.9929,568.4454,299.684,54.2967,223.5174
2020-01-10,133.3334,125.994,50.9186,51.4314,562.48,300.109,55.7665,226.6967
2020-01-09,134.6758,126.5186,51.1416,51.2836,565.8476,300.4396,57.1715,229.9724
2020-01-08,134.1859,124.2716,51.2289,50.8009,559.3049,300.9118,58.0404,231.5139
2020-01-07,133.1472,122.1631,51.0737,50.1606,561.3254,301.4313,58.3362,231.8029
2020-01-06,135.4499,122.8065,51.5005,50.2591,563.0573,310.2622,58.4656,231.2249
2020-01-03,135.5577,123.3411,51.8108,50.4364,571.9092,312.34,58.2807,229.587
2020-01-02,137.3588,124.5784,52.1309,51.2639,572.5827,314.654,58.8908,235.3676
2019-12-31,135.7135,122.8126,52.1794,50.3576,569.5038,298.7395,57.7723,231.5139
2019-12-30,134.9638,122.6251,51.9854,50.2,573.7373,298.4561,58.3454,233.0554
2019-12-27,135.4603,123.5031,52.2958,50.3281,575.1805,305.8703,58.4009,233.7298
2019-12-26,135.363,123.7202,52.5189,50.3478,576.72,309.7899,58.6227,233.8261
2019-12-24,133.9416,123.0592,52.1988,49.934,576.3351,304.1703,57.495,232.8627
2019-12-23,133.5716,122.8126,52.1891,49.9636,577.4897,305.8231,57.6152,234.2115
2019-12-20,133.6106,124.0753,51.7236,49.934,577.2973,305.7286,59.0849,238.3543
2019-12-19,133.7177,123.148,52.0145,50.1015,576.4314,305.4925,58.5673,239.6068
2019-12-18,134.3894,122.5857,52.0533,49.9045,571.1395,302.6119,58.5118,244.0386
2019-12-17,134.5257,123.2664,52.7031,50.1409,563.3459,300.6757,62.163,251.457
2019-12-16,133.7079,122.0135,52.5867,49.9636,552.8584,293.0254,59.4639,242.5934
2019-12-13,133.192,123.0395,52.1697,49.4907,554.6865,294.9616,56.4967,223.8064
2019-12-12,134.37,120.9875,52.7225,49.934,540.4465,282.8722,55.8312,219.5673
2019-12-11,130.6315,119.0144,51.5684,48.7125,537.7524,284.7612,56.8295,220.9161
2019-12-10,130.9431,119.2709,52.0727,48.9292,539.1957,286.9335,57.4303,221.5905
2019-12-09,130.8554,118.8369,52.2958,48.8603,540.6389,285.7056,56.8202,219.6636
2019-12-06,131.4688,118.9848,52.7322,49.0573,531.4022,282.4708,55.9328,216.8697
2019-12-05,129.5411,116.6862,51.6266,48.3382,537.6562,282.2111,55.9883,214.3647
2019-12-04,128.8402,116.3508,51.6363,48.1116,535.1546,278.6693,54.6942,210.0293
2019-12-03,126.3479,114.9993,50.9961,47.3925,547.6627,283.5806,55.406,213.883
2019-12-02,127.9932,115.68,52.0048,48.348,554.4941,285.2806,56.5244,217.9294
2019-11-29,128.2755,118.5014,52.8195,48.7421,558.8238,287.3113,57.9479,223.6137
2019-11-27,128.5676,118.7086,52.7031,49.0376,562.9611,288.6808,57.0328,222.7466
2019-11-26,128.1879,118.1759,52.1891,48.6731,560.7481,291.1836,56.5891,222.3612
2019-11-25,128.0127,118.975,52.577,49.2149,560.7481,292.9781,56.2656,221.1088
2019-11-22,127.3312,117.4557,52.6449,48.5155,557.8616,293.2143,55.2673,216.677
2019-11-21,126.4939,117.1992,51.9466,48.1116,548.1438,287.0279,54.2598,212.7269
2019-11-20,126.2018,117.6925,51.9272,48.3677,554.5903,283.9583,54.6387,214.4611
2019-11-19,127.1267,118.3831,52.4025,48.5943,558.7276,285.139,54.9808,214.5574
2019-11-18,127.1657,118.0476,52.3734,48.2988,553.2432,296.8977,55.2211,216.677
2019-11-15,126.1045,119.1328,52.1794,48.2594,551.9924,286.8862,54.6942,216.4843
2019-11-14,125.1991,119.3005,51.8787,47.885,548.7211,294.7727,54.2505,213.2086
2019-11-13,125.0823,118.6396,51.6848,47.6683,552.4735,292.6948,55.0824,214.172
2019-11-12,125.7443,119.2611,52.5867,48.2791,566.4249,301.3368,55.0824,214.172
2019-11-11,126.4842,119.2709,52.4219,48.3579,564.4043,303.4147,54.1119,213.4976
2019-11-08,126.932,119.8333,52.4704,48.417,573.0638,303.4619,52.0228,205.2121
2019-11-07,126.5621,119.6458,52.3734,47.9343,578.067,313.7567,52.8732,207.8133
2019-11-06,125.8806,118.0772,51.6912,47.8358,575.4692,305.1147,53.0673,208.1987
2019-11-05,125.6859,117.1696,51.2108,48.023,575.2768,307.5232,53.6959,208.5841
2019-11-04,125.4133,118.0082,50.6535,48.1018,573.4486,312.2928,53.4186,208.7768
2019-11-01,124.4202,117.5347,50.1347,46.6241,566.5211,294.9616,52.9749,206.8499
